,Type,Floor,Area,Structure,Inarea,Architectural_type,Orientation,Building_structure,Situation,Ratio,Elevator,Years,Price,PerPrice,Region,No,No,No
0,2室1厅1厨1卫,中楼层 (共8层),68.81,平层,57.33㎡,板楼,南,框架结构,简装,一梯三户,无,70年,68,9883,西固区,,,
1,3室2厅1厨1卫,中楼层 (共7层),97.79,平层,97.79㎡,板楼,东 西,框架结构,精装,一梯三户,无,70年,158,16158,城关区,,,
2,3室2厅1厨2卫,中楼层 (共11层),121.6,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,暂无数据,70年,185,15214,城关区,,,
3,3室2厅1厨2卫,低楼层 (共14层),145,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,70年,257,17725,城关区,,,
4,3室2厅1厨2卫,中楼层 (共8层),156,平层,145.2㎡,板塔结合,南 北,框架结构,精装,一梯两户,无,70年,156,10000,城关区,,,
5,2室2厅1厨1卫,高楼层 (共8层),115.25,平层,115㎡,板楼,西南,框架结构,简装,一梯四户,无,70年,103,8938,城关区,,,
6,3室2厅1厨2卫,中楼层 (共9层),165.64,平层,142.27㎡,板楼,西北,钢混结构,简装,一梯两户,有,70年,179,10807,城关区,,,
7,3室2厅1厨1卫,中楼层 (共8层),86.5,平层,暂无数据,板楼,东 西,砖混结构,简装,一梯两户,暂无数据,70年,120,13873,城关区,,,
8,4室2厅1厨2卫,中楼层 (共18层),149.8,平层,119.88㎡,板塔结合,南 北,框架结构,简装,两梯两户,有,70年,140,9346,城关区,,,
9,2室1厅1厨1卫,中楼层 (共8层),70.83,平层,暂无数据,板楼,北 南,框架结构,简装,一梯两户,暂无数据,70年,95.5,13483,西固区,,,
10,2室1厅1厨1卫,中楼层 (共9层),69.5,平层,57.2㎡,板楼,南 西 北,框架结构,简装,一梯三户,无,70年,105,15108,城关区,,,
11,2室1厅1厨1卫,中楼层 (共8层),50,平层,暂无数据,暂无数据,南,未知结构,简装,一梯三户,暂无数据,70年,65,13000,西固区,,,
12,2室1厅1厨1卫,中楼层 (共5层),58.66,平层,暂无数据,暂无数据,南 北,未知结构,精装,一梯两户,无,70年,160,27276,城关区,,,
13,2室1厅1厨1卫,低楼层 (共33层),83.76,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,70年,124.5,14864,安宁区,,,
14,3室2厅1厨2卫,低楼层 (共18层),127.8,平层,暂无数据,板塔结合,南 北,框架结构,精装,两梯两户,有,70年,166,12990,城关区,,,
15,4室2厅1厨1卫,低楼层 (共26层),114,平层,87.98㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,70年,135,11843,城关区,,,
