,Type, Floor, Area, Structure, Inarea, Architectural_type, Orientation, Building_structure, Situation, Ratio, Elevator, Years, Price, PerPrice, Region, No
0,2室1厅1厨1卫,中楼层 (共8层),68.81㎡,平层,57.33㎡,板楼,南,框架结构,简装,一梯三户,无,70年,68万,9883元/平米,西固区 西固区 ,
1,3室2厅1厨1卫,中楼层 (共7层),97.79㎡,平层,97.79㎡,板楼,东 西,框架结构,精装,一梯三户,无,70年,158万,16158元/平米,城关区 西关南关 ,
2,3室2厅1厨2卫,中楼层 (共11层),121.6㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,暂无数据,70年,185万,15214元/平米,城关区 北面滩 ,
3,3室2厅1厨2卫,低楼层 (共14层),145㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,有,70年,257万,17725元/平米,城关区 北面滩 ,
4,3室2厅1厨2卫,中楼层 (共8层),156㎡,平层,145.2㎡,板塔结合,南 北,框架结构,精装,一梯两户,无,70年,156万,10000元/平米,城关区 北面滩 ,
5,2室2厅1厨1卫,高楼层 (共8层),115.25㎡,平层,115㎡,板楼,西南,框架结构,简装,一梯四户,无,70年,103万,8938元/平米,城关区 雁滩高新区 ,
6,3室2厅1厨2卫,中楼层 (共9层),165.64㎡,平层,142.27㎡,板楼,西北,钢混结构,简装,一梯两户,有,70年,179万,10807元/平米,城关区 兰大盘旋路 ,
7,3室2厅1厨1卫,中楼层 (共8层),86.5㎡,平层,暂无数据,板楼,东 西,砖混结构,简装,一梯两户,暂无数据,70年,120万,13873元/平米,城关区 西关南关 ,
8,4室2厅1厨2卫,中楼层 (共18层),149.8㎡,平层,119.88㎡,板塔结合,南 北,框架结构,简装,两梯两户,有,70年,140万,9346元/平米,城关区 碧桂园 ,
9,2室1厅1厨1卫,中楼层 (共8层),70.83㎡,平层,暂无数据,板楼,北 南,框架结构,简装,一梯两户,暂无数据,70年,95.5万,13483元/平米,西固区 西固区 ,
