"获取实时拥堵指数内容"
"index：1.87"
"last_index：1.84"
"week_rate：0.016"
"max_congest_day：20191008"
"max_week_day：2"
"max_index：1.97"
"获取实时拥堵指数变化内容"
"0{'index': '1.82', 'speed': '25.04', 'time': '17:10'}"
"1{'index': '1.95', 'speed': '23.42', 'time': '17:15'}"
"2{'index': '2.05', 'speed': '22.28', 'time': '17:20'}"
"3{'index': '2.07', 'speed': '22.07', 'time': '17:25'}"
"4{'index': '2.10', 'speed': '21.67', 'time': '17:30'}"
"5{'index': '2.08', 'speed': '21.92', 'time': '17:35'}"
"6{'index': '2.10', 'speed': '21.70', 'time': '17:40'}"
"7{'index': '2.04', 'speed': '22.41', 'time': '17:45'}"
"8{'index': '1.98', 'speed': '23.02', 'time': '17:50'}"
"9{'index': '1.98', 'speed': '23.02', 'time': '17:55'}"
"10{'index': '1.96', 'speed': '23.32', 'time': '18:00'}"
"11{'index': '1.90', 'speed': '23.97', 'time': '18:05'}"
"12{'index': '1.84', 'speed': '24.82', 'time': '18:10'}"
"13{'index': '1.77', 'speed': '25.77', 'time': '18:15'}"
"14{'index': '1.70', 'speed': '26.76', 'time': '18:20'}"
"15{'index': '1.60', 'speed': '28.57', 'time': '18:25'}"
"16{'index': '1.51', 'speed': '30.30', 'time': '18:30'}"
"17{'index': '1.46', 'speed': '31.26', 'time': '18:35'}"
"18{'index': '1.41', 'speed': '32.34', 'time': '18:40'}"
"19{'index': '1.38', 'speed': '33.08', 'time': '18:45'}"
"20{'index': '1.35', 'speed': '33.69', 'time': '18:50'}"
"21{'index': '1.32', 'speed': '34.53', 'time': '18:55'}"
"22{'index': '1.30', 'speed': '35.15', 'time': '19:00'}"
"23{'index': '1.25', 'speed': '36.34', 'time': '19:05'}"
"24{'index': '1.26', 'speed': '36.19', 'time': '19:10'}"
"25{'index': '1.24', 'speed': '36.90', 'time': '19:15'}"
"26{'index': '1.22', 'speed': '37.31', 'time': '19:20'}"
"27{'index': '1.22', 'speed': '37.48', 'time': '19:25'}"
"28{'index': '1.22', 'speed': '37.49', 'time': '19:30'}"
"29{'index': '1.21', 'speed': '37.83', 'time': '19:35'}"
"30{'index': '1.20', 'speed': '38.05', 'time': '19:40'}"
"31{'index': '1.20', 'speed': '38.18', 'time': '19:45'}"
"32{'index': '1.20', 'speed': '38.14', 'time': '19:50'}"
"33{'index': '1.19', 'speed': '38.20', 'time': '19:55'}"
"34{'index': '1.19', 'speed': '38.27', 'time': '20:00'}"
"35{'index': '1.19', 'speed': '38.47', 'time': '20:05'}"
"36{'index': '1.19', 'speed': '38.51', 'time': '20:10'}"
"37{'index': '1.19', 'speed': '38.45', 'time': '20:15'}"
"38{'index': '1.18', 'speed': '38.54', 'time': '20:20'}"
"39{'index': '1.18', 'speed': '38.62', 'time': '20:25'}"
"40{'index': '1.18', 'speed': '38.55', 'time': '20:30'}"
"41{'index': '1.18', 'speed': '38.70', 'time': '20:35'}"
"42{'index': '1.18', 'speed': '38.61', 'time': '20:40'}"
"43{'index': '1.18', 'speed': '38.54', 'time': '20:45'}"
"44{'index': '1.17', 'speed': '38.86', 'time': '20:50'}"
"45{'index': '1.17', 'speed': '39.16', 'time': '20:55'}"
"46{'index': '1.16', 'speed': '39.34', 'time': '21:00'}"
"47{'index': '1.16', 'speed': '39.34', 'time': '21:05'}"
"48{'index': '1.16', 'speed': '39.27', 'time': '21:10'}"
"49{'index': '1.16', 'speed': '39.31', 'time': '21:15'}"
"50{'index': '1.16', 'speed': '39.27', 'time': '21:20'}"
"51{'index': '1.15', 'speed': '39.55', 'time': '21:25'}"
"52{'index': '1.15', 'speed': '39.66', 'time': '21:30'}"
"53{'index': '1.15', 'speed': '39.74', 'time': '21:35'}"
"54{'index': '1.15', 'speed': '39.71', 'time': '21:40'}"
"55{'index': '1.15', 'speed': '39.71', 'time': '21:45'}"
"56{'index': '1.15', 'speed': '39.84', 'time': '21:50'}"
"57{'index': '1.14', 'speed': '39.92', 'time': '21:55'}"
"58{'index': '1.14', 'speed': '39.89', 'time': '22:00'}"
"59{'index': '1.14', 'speed': '39.88', 'time': '22:05'}"
"60{'index': '1.14', 'speed': '39.98', 'time': '22:10'}"
"61{'index': '1.14', 'speed': '40.13', 'time': '22:15'}"
"62{'index': '1.13', 'speed': '40.21', 'time': '22:20'}"
"63{'index': '1.15', 'speed': '39.75', 'time': '22:25'}"
"64{'index': '1.13', 'speed': '40.30', 'time': '22:30'}"
"65{'index': '1.12', 'speed': '40.61', 'time': '22:35'}"
"66{'index': '1.12', 'speed': '40.81', 'time': '22:40'}"
"67{'index': '1.11', 'speed': '40.98', 'time': '22:45'}"
"68{'index': '1.12', 'speed': '40.88', 'time': '22:50'}"
"69{'index': '1.11', 'speed': '40.97', 'time': '22:55'}"
"70{'index': '1.11', 'speed': '41.09', 'time': '23:00'}"
"71{'index': '1.11', 'speed': '41.07', 'time': '23:05'}"
"72{'index': '1.10', 'speed': '41.31', 'time': '23:10'}"
"73{'index': '1.10', 'speed': '41.28', 'time': '23:15'}"
"74{'index': '1.10', 'speed': '41.36', 'time': '23:20'}"
"75{'index': '1.10', 'speed': '41.50', 'time': '23:25'}"
"76{'index': '1.09', 'speed': '41.69', 'time': '23:30'}"
"77{'index': '1.09', 'speed': '41.76', 'time': '23:35'}"
"78{'index': '1.09', 'speed': '41.82', 'time': '23:40'}"
"79{'index': '1.09', 'speed': '41.86', 'time': '23:45'}"
"80{'index': '1.09', 'speed': '41.82', 'time': '23:50'}"
"81{'index': '1.09', 'speed': '41.92', 'time': '23:55'}"
"82{'index': '1.07', 'speed': '42.66', 'time': '00:00'}"
"83{'index': '1.07', 'speed': '42.56', 'time': '00:05'}"
"84{'index': '1.07', 'speed': '42.46', 'time': '00:10'}"
"85{'index': '1.07', 'speed': '42.53', 'time': '00:15'}"
"86{'index': '1.07', 'speed': '42.57', 'time': '00:20'}"
"87{'index': '1.07', 'speed': '42.60', 'time': '00:25'}"
"88{'index': '1.07', 'speed': '42.61', 'time': '00:30'}"
"89{'index': '1.07', 'speed': '42.70', 'time': '00:35'}"
"90{'index': '1.07', 'speed': '42.64', 'time': '00:40'}"
"91{'index': '1.07', 'speed': '42.72', 'time': '00:45'}"
"92{'index': '1.07', 'speed': '42.73', 'time': '00:50'}"
"93{'index': '1.06', 'speed': '42.90', 'time': '00:55'}"
"94{'index': '1.05', 'speed': '43.25', 'time': '01:00'}"
"95{'index': '1.05', 'speed': '43.32', 'time': '01:05'}"
"96{'index': '1.05', 'speed': '43.47', 'time': '01:10'}"
"97{'index': '1.04', 'speed': '43.67', 'time': '01:15'}"
"98{'index': '1.04', 'speed': '43.69', 'time': '01:20'}"
"99{'index': '1.05', 'speed': '43.59', 'time': '01:25'}"
"100{'index': '1.05', 'speed': '43.52', 'time': '01:30'}"
"101{'index': '1.05', 'speed': '43.47', 'time': '01:35'}"
"102{'index': '1.04', 'speed': '43.87', 'time': '01:40'}"
"103{'index': '1.04', 'speed': '43.95', 'time': '01:45'}"
