"获取实时拥堵指数内容"
"index：1.26"
"last_index：1.37"
"week_rate：-0.08"
"max_congest_day：20191008"
"max_week_day：2"
"max_index：1.97"
"获取实时拥堵指数变化内容"
"0{'index': '1.33', 'speed': '34.16', 'time': '10:35'}"
"1{'index': '1.34', 'speed': '33.88', 'time': '10:40'}"
"2{'index': '1.37', 'speed': '33.33', 'time': '10:45'}"
"3{'index': '1.35', 'speed': '33.67', 'time': '10:50'}"
"4{'index': '1.34', 'speed': '34.01', 'time': '10:55'}"
"5{'index': '1.35', 'speed': '33.76', 'time': '11:00'}"
"6{'index': '1.35', 'speed': '33.80', 'time': '11:05'}"
"7{'index': '1.34', 'speed': '33.95', 'time': '11:10'}"
"8{'index': '1.32', 'speed': '34.39', 'time': '11:15'}"
"9{'index': '1.34', 'speed': '34.12', 'time': '11:20'}"
"10{'index': '1.33', 'speed': '34.21', 'time': '11:25'}"
"11{'index': '1.35', 'speed': '33.87', 'time': '11:30'}"
"12{'index': '1.36', 'speed': '33.54', 'time': '11:35'}"
"13{'index': '1.36', 'speed': '33.43', 'time': '11:40'}"
"14{'index': '1.35', 'speed': '33.86', 'time': '11:45'}"
"15{'index': '1.35', 'speed': '33.75', 'time': '11:50'}"
"16{'index': '1.35', 'speed': '33.84', 'time': '11:55'}"
"17{'index': '1.35', 'speed': '33.84', 'time': '12:00'}"
"18{'index': '1.35', 'speed': '33.74', 'time': '12:05'}"
"19{'index': '1.36', 'speed': '33.43', 'time': '12:10'}"
"20{'index': '1.38', 'speed': '33.09', 'time': '12:15'}"
"21{'index': '1.38', 'speed': '32.94', 'time': '12:20'}"
"22{'index': '1.39', 'speed': '32.82', 'time': '12:25'}"
"23{'index': '1.37', 'speed': '33.24', 'time': '12:30'}"
"24{'index': '1.39', 'speed': '32.82', 'time': '12:35'}"
"25{'index': '1.43', 'speed': '31.98', 'time': '12:40'}"
"26{'index': '1.43', 'speed': '31.88', 'time': '12:45'}"
"27{'index': '1.43', 'speed': '31.88', 'time': '12:50'}"
"28{'index': '1.45', 'speed': '31.46', 'time': '12:55'}"
"29{'index': '1.47', 'speed': '30.96', 'time': '13:00'}"
"30{'index': '1.48', 'speed': '30.89', 'time': '13:05'}"
"31{'index': '1.43', 'speed': '31.89', 'time': '13:10'}"
"32{'index': '1.46', 'speed': '31.14', 'time': '13:15'}"
"33{'index': '1.45', 'speed': '31.42', 'time': '13:20'}"
"34{'index': '1.42', 'speed': '32.07', 'time': '13:25'}"
"35{'index': '1.40', 'speed': '32.56', 'time': '13:30'}"
"36{'index': '1.41', 'speed': '32.23', 'time': '13:35'}"
"37{'index': '1.41', 'speed': '32.37', 'time': '13:40'}"
"38{'index': '1.41', 'speed': '32.38', 'time': '13:45'}"
"39{'index': '1.38', 'speed': '32.99', 'time': '13:50'}"
"40{'index': '1.38', 'speed': '32.92', 'time': '13:55'}"
"41{'index': '1.39', 'speed': '32.77', 'time': '14:00'}"
"42{'index': '1.40', 'speed': '32.68', 'time': '14:05'}"
"43{'index': '1.42', 'speed': '32.08', 'time': '14:10'}"
"44{'index': '1.42', 'speed': '32.00', 'time': '14:15'}"
"45{'index': '1.44', 'speed': '31.57', 'time': '14:20'}"
"46{'index': '1.46', 'speed': '31.23', 'time': '14:25'}"
"47{'index': '1.49', 'speed': '30.63', 'time': '14:30'}"
"48{'index': '1.46', 'speed': '31.15', 'time': '14:35'}"
"49{'index': '1.49', 'speed': '30.59', 'time': '14:40'}"
"50{'index': '1.50', 'speed': '30.46', 'time': '14:45'}"
"51{'index': '1.45', 'speed': '31.50', 'time': '14:50'}"
"52{'index': '1.46', 'speed': '31.30', 'time': '14:55'}"
"53{'index': '1.44', 'speed': '31.71', 'time': '15:00'}"
"54{'index': '1.43', 'speed': '31.97', 'time': '15:05'}"
"55{'index': '1.43', 'speed': '31.92', 'time': '15:10'}"
"56{'index': '1.44', 'speed': '31.61', 'time': '15:15'}"
"57{'index': '1.43', 'speed': '31.80', 'time': '15:20'}"
"58{'index': '1.41', 'speed': '32.30', 'time': '15:25'}"
"59{'index': '1.39', 'speed': '32.75', 'time': '15:30'}"
"60{'index': '1.43', 'speed': '31.96', 'time': '15:35'}"
"61{'index': '1.45', 'speed': '31.56', 'time': '15:40'}"
"62{'index': '1.43', 'speed': '31.93', 'time': '15:45'}"
"63{'index': '1.41', 'speed': '32.30', 'time': '15:50'}"
"64{'index': '1.41', 'speed': '32.47', 'time': '15:55'}"
"65{'index': '1.39', 'speed': '32.91', 'time': '16:00'}"
"66{'index': '1.39', 'speed': '32.91', 'time': '16:05'}"
"67{'index': '1.39', 'speed': '32.73', 'time': '16:10'}"
"68{'index': '1.40', 'speed': '32.58', 'time': '16:15'}"
"69{'index': '1.42', 'speed': '32.19', 'time': '16:20'}"
"70{'index': '1.44', 'speed': '31.75', 'time': '16:25'}"
"71{'index': '1.42', 'speed': '32.06', 'time': '16:30'}"
"72{'index': '1.45', 'speed': '31.54', 'time': '16:35'}"
"73{'index': '1.47', 'speed': '30.98', 'time': '16:40'}"
"74{'index': '1.48', 'speed': '30.89', 'time': '16:45'}"
"75{'index': '1.48', 'speed': '30.92', 'time': '16:50'}"
"76{'index': '1.50', 'speed': '30.44', 'time': '16:55'}"
"77{'index': '1.53', 'speed': '29.75', 'time': '17:00'}"
"78{'index': '1.54', 'speed': '29.60', 'time': '17:05'}"
"79{'index': '1.58', 'speed': '28.95', 'time': '17:10'}"
"80{'index': '1.63', 'speed': '27.94', 'time': '17:15'}"
"81{'index': '1.63', 'speed': '27.91', 'time': '17:20'}"
"82{'index': '1.67', 'speed': '27.32', 'time': '17:25'}"
"83{'index': '1.68', 'speed': '27.22', 'time': '17:30'}"
"84{'index': '1.62', 'speed': '28.19', 'time': '17:35'}"
"85{'index': '1.62', 'speed': '28.19', 'time': '17:40'}"
"86{'index': '1.63', 'speed': '27.93', 'time': '17:45'}"
"87{'index': '1.60', 'speed': '28.45', 'time': '17:50'}"
"88{'index': '1.60', 'speed': '28.45', 'time': '17:55'}"
"89{'index': '1.62', 'speed': '28.06', 'time': '18:00'}"
"90{'index': '1.58', 'speed': '28.77', 'time': '18:05'}"
"91{'index': '1.55', 'speed': '29.34', 'time': '18:10'}"
"92{'index': '1.57', 'speed': '29.08', 'time': '18:15'}"
"93{'index': '1.54', 'speed': '29.70', 'time': '18:20'}"
"94{'index': '1.52', 'speed': '30.07', 'time': '18:25'}"
"95{'index': '1.52', 'speed': '30.07', 'time': '18:30'}"
"96{'index': '1.48', 'speed': '30.81', 'time': '18:35'}"
"97{'index': '1.47', 'speed': '30.95', 'time': '18:40'}"
"98{'index': '1.43', 'speed': '31.99', 'time': '18:45'}"
"99{'index': '1.38', 'speed': '33.14', 'time': '18:50'}"
"100{'index': '1.35', 'speed': '33.81', 'time': '18:55'}"
"101{'index': '1.34', 'speed': '33.95', 'time': '19:00'}"
"102{'index': '1.32', 'speed': '34.55', 'time': '19:05'}"
"103{'index': '1.31', 'speed': '34.74', 'time': '19:10'}"
"104{'index': '1.30', 'speed': '35.00', 'time': '19:15'}"
"105{'index': '1.28', 'speed': '35.62', 'time': '19:20'}"
"106{'index': '1.26', 'speed': '36.21', 'time': '19:25'}"
"107{'index': '1.24', 'speed': '36.83', 'time': '19:30'}"
"108{'index': '1.23', 'speed': '37.14', 'time': '19:35'}"
"109{'index': '1.22', 'speed': '37.33', 'time': '19:40'}"
"110{'index': '1.23', 'speed': '37.11', 'time': '19:45'}"
"111{'index': '1.22', 'speed': '37.38', 'time': '19:50'}"
"112{'index': '1.22', 'speed': '37.41', 'time': '19:55'}"
"113{'index': '1.21', 'speed': '37.77', 'time': '20:00'}"
"114{'index': '1.21', 'speed': '37.85', 'time': '20:05'}"
"115{'index': '1.20', 'speed': '38.05', 'time': '20:10'}"
"116{'index': '1.20', 'speed': '38.00', 'time': '20:15'}"
"117{'index': '1.20', 'speed': '38.14', 'time': '20:20'}"
"118{'index': '1.19', 'speed': '38.32', 'time': '20:25'}"
"119{'index': '1.18', 'speed': '38.58', 'time': '20:30'}"
"120{'index': '1.17', 'speed': '38.95', 'time': '20:35'}"
"121{'index': '1.17', 'speed': '39.06', 'time': '20:40'}"
"122{'index': '1.17', 'speed': '38.89', 'time': '20:45'}"
"123{'index': '1.17', 'speed': '38.97', 'time': '20:50'}"
"124{'index': '1.16', 'speed': '39.42', 'time': '20:55'}"
"125{'index': '1.16', 'speed': '39.47', 'time': '21:00'}"
"126{'index': '1.16', 'speed': '39.38', 'time': '21:05'}"
"127{'index': '1.16', 'speed': '39.31', 'time': '21:10'}"
"128{'index': '1.17', 'speed': '39.15', 'time': '21:15'}"
"129{'index': '1.15', 'speed': '39.73', 'time': '21:20'}"
"130{'index': '1.15', 'speed': '39.71', 'time': '21:25'}"
"131{'index': '1.15', 'speed': '39.64', 'time': '21:30'}"
"132{'index': '1.15', 'speed': '39.64', 'time': '21:35'}"
"133{'index': '1.15', 'speed': '39.72', 'time': '21:40'}"
"134{'index': '1.15', 'speed': '39.80', 'time': '21:45'}"
"135{'index': '1.15', 'speed': '39.76', 'time': '21:50'}"
"136{'index': '1.15', 'speed': '39.79', 'time': '21:55'}"
"137{'index': '1.15', 'speed': '39.75', 'time': '22:00'}"
"138{'index': '1.14', 'speed': '40.02', 'time': '22:05'}"
"139{'index': '1.14', 'speed': '40.11', 'time': '22:10'}"
"140{'index': '1.13', 'speed': '40.42', 'time': '22:15'}"
"141{'index': '1.12', 'speed': '40.68', 'time': '22:20'}"
"142{'index': '1.12', 'speed': '40.87', 'time': '22:25'}"
"143{'index': '1.11', 'speed': '40.95', 'time': '22:30'}"
"144{'index': '1.11', 'speed': '41.18', 'time': '22:35'}"
"145{'index': '1.11', 'speed': '41.26', 'time': '22:40'}"
"146{'index': '1.10', 'speed': '41.31', 'time': '22:45'}"
"147{'index': '1.10', 'speed': '41.41', 'time': '22:50'}"
"148{'index': '1.10', 'speed': '41.47', 'time': '22:55'}"
"149{'index': '1.10', 'speed': '41.49', 'time': '23:00'}"
"150{'index': '1.10', 'speed': '41.43', 'time': '23:05'}"
"151{'index': '1.10', 'speed': '41.38', 'time': '23:10'}"
"152{'index': '1.10', 'speed': '41.50', 'time': '23:15'}"
"153{'index': '1.10', 'speed': '41.63', 'time': '23:20'}"
"154{'index': '1.09', 'speed': '41.81', 'time': '23:25'}"
"155{'index': '1.09', 'speed': '41.81', 'time': '23:30'}"
"156{'index': '1.09', 'speed': '41.95', 'time': '23:35'}"
"157{'index': '1.08', 'speed': '42.15', 'time': '23:40'}"
"158{'index': '1.08', 'speed': '42.37', 'time': '23:45'}"
"159{'index': '1.07', 'speed': '42.53', 'time': '23:50'}"
"160{'index': '1.07', 'speed': '42.57', 'time': '23:55'}"
"161{'index': '1.07', 'speed': '42.59', 'time': '00:00'}"
"162{'index': '1.07', 'speed': '42.49', 'time': '00:05'}"
"163{'index': '1.07', 'speed': '42.73', 'time': '00:10'}"
"164{'index': '1.06', 'speed': '42.97', 'time': '00:15'}"
"165{'index': '1.06', 'speed': '42.85', 'time': '00:20'}"
"166{'index': '1.06', 'speed': '42.85', 'time': '00:25'}"
"167{'index': '1.06', 'speed': '42.84', 'time': '00:30'}"
"168{'index': '1.06', 'speed': '42.96', 'time': '00:35'}"
"169{'index': '1.06', 'speed': '42.97', 'time': '00:40'}"
"170{'index': '1.06', 'speed': '42.85', 'time': '00:45'}"
"171{'index': '1.07', 'speed': '42.49', 'time': '00:50'}"
"172{'index': '1.07', 'speed': '42.52', 'time': '00:55'}"
"173{'index': '1.05', 'speed': '43.24', 'time': '01:00'}"
"174{'index': '1.05', 'speed': '43.43', 'time': '01:05'}"
"175{'index': '1.05', 'speed': '43.33', 'time': '01:10'}"
"176{'index': '1.05', 'speed': '43.38', 'time': '01:15'}"
